Acc Eff (stat, up)
0, 0.008, 0.0185633
0.008, 0.024, 0.0136936
0.024, 0.045, 0.0121319
0.045, 0.072, 0.01153
0.072, 0.114, 0.0108263
0.114, 0.189, 0.010329
0.189, 0.391, 0.00900273
0.391, 1.153, 0.00956925
1.153, 3.277, 0.0160933
