Acc Eff (stat, up)
0, 1, 0.00410547
1, 2, 0.00488273
2, 3, 0.00588998
3, 4, 0.00716577
4, 5, 0.00562876
5, 6, 0.00861097
6, 7, 0.0152882
7, 8, 0.0371322
8, 9, 0.00165896
9, 10, 0.00120568
10, 11, 0.00120688
11, 12, 0.00129388
12, 13, 0.00150052
13, 14, 0.00172538
14, 15, 0.00192084
15, 16, 0.00215008
16, 17, 0.0013437
17, 18, 0.00194354
18, 19, 0.00255682
19, 20, 0.00261036
20, 21, 0.00407383
21, 22, 0.00519658
22, 23, 0.00650035
23, 24, 0.0164539
24, 25, 0.0226736
