Eff (theory)
0, 5, 0.00125283
5, 10, 0.00284867
10, 15, 0.00511184
15, 20, 0.00599643
20, 40, 0.00910446
40, 70, 0.00503029
70, 110, 0.004793
110, 200, 0.00918795
