Acc Eff (stat, down)
0, 5, 0.00410547
5, 10, 0.00488273
10, 15, 0.00588998
15, 20, 0.00716577
20, 40, 0.00562876
40, 70, 0.00861097
70, 110, 0.0152882
110, 200, 0.0371322
