Acc Eff (stat, up)
0, 0.008, 0.00952859
0.008, 0.024, 0.00683772
0.024, 0.045, 0.0067592
0.045, 0.072, 0.00614303
0.072, 0.114, 0.00624164
0.114, 0.189, 0.00586819
0.189, 0.391, 0.00556038
0.391, 1.153, 0.00563718
1.153, 3.277, 0.0101929
