Acc Eff (stat, down)
-2.87, -2.4, 0.0103744
-2.4, -1.93, 0.00649155
-1.93, -1.6, 0.0085007
-1.6, -1.2, 0.0067898
-1.2, -0.8, 0.0072355
-0.8, -0.4, 0.00806846
-0.4, 0, 0.00822819
0, 0.4, 0.00718117
0.4, 0.8, 0.00677699
0.8, 1.2, 0.00650836
1.2, 1.6, 0.00995314
1.6, 1.93, 0.0158222
