Acc Eff (stat, up)
0, 1, 0.018285
1, 2, 0.0132713
2, 3, 0.011993
3, 4, 0.0113463
4, 5, 0.0110955
5, 6, 0.0100886
6, 7, 0.00893281
7, 8, 0.00953587
8, 9, 0.0149418
9, 10, 0.0028608
10, 11, 0.00279079
11, 12, 0.00287426
12, 13, 0.00267819
13, 14, 0.00264711
14, 15, 0.00274043
15, 16, 0.00237439
16, 17, 0.00253378
17, 18, 0.00239029
18, 19, 0.00246723
19, 20, 0.00238038
20, 21, 0.00230988
21, 22, 0.00215667
22, 23, 0.00210932
23, 24, 0.00166557
24, 25, 0
25, 26, 0.00909554
