Acc Eff (stat, up)
0, 5, 0.00755534
5, 10, 0.0076514
10, 15, 0.0098595
15, 20, 0.0122195
20, 40, 0.00843595
40, 70, 0.0149049
70, 110, 0.0258413
110, 200, 0.0497823
