Acc Eff (stat, up)
0, 0.008, 0.00362539
0.008, 0.016, 0.00359463
0.016, 0.024, 0.0036925
0.024, 0.034, 0.00340997
0.034, 0.045, 0.00342284
0.045, 0.057, 0.00350132
0.057, 0.072, 0.00340743
0.072, 0.091, 0.00327472
0.091, 0.114, 0.00334393
0.114, 0.145, 0.00317333
0.145, 0.189, 0.00311422
0.189, 0.258, 0.00305097
0.258, 0.391, 0.00293314
0.391, 0.695, 0.00301962
0.695, 1.153, 0.00395842
1.153, 1.947, 0.0066687
1.947, 3.277, 0.0141513
