Acc Eff (stat, down)
15, 20, 0.0281352
20, 30, 0.012507
30, 40, 0.00492938
40, 50, 0.00579605
50, 60, 0.00645423
60, 76, 0.00426763
76, 86, 0.00285962
86, 96, 0.000982561
96, 106, 0.00385242
106, 120, 0.00751679
120, 150, 0.00941003
150, 200, 0.0129242
200, 600, 0.0172248
