Acc Eff (stat, up)
0, 5, 0.00411722
5, 10, 0.0047149
10, 15, 0.0058783
15, 20, 0.00751029
20, 40, 0.00531315
40, 70, 0.0100409
70, 110, 0.0170046
110, 200, 0.0304883
