Acc Eff (stat, down)
0, 5, 0.00741194
5, 10, 0.00779558
10, 15, 0.00976811
15, 20, 0.0120436
20, 40, 0.008055
40, 70, 0.0127206
70, 110, 0.0206362
110, 200, 0.0337158
