Acc Eff (stat, down)
15, 20, 0.014618
20, 30, 0.00806126
30, 40, 0.00317026
40, 50, 0.00358206
50, 60, 0.00383451
60, 76, 0.00257556
76, 86, 0.00153744
86, 96, 0.0005055
96, 106, 0.00192368
106, 120, 0.003609
120, 150, 0.00472902
150, 200, 0.00674179
200, 600, 0.00947983
