Acc Eff (stat, up)
0, 2.5, 0.00165896
2.5, 5, 0.00120568
5, 7.5, 0.00120688
7.5, 10, 0.00129388
10, 12.5, 0.00150052
12.5, 15, 0.00172538
15, 17.5, 0.00192084
17.5, 20, 0.00215008
20, 30, 0.0013437
30, 40, 0.00194354
40, 50, 0.00255682
50, 70, 0.00261036
70, 90, 0.00407383
90, 110, 0.00519658
110, 150, 0.00650035
150, 200, 0.0164539
200, 300, 0.0226736
