Acc Eff (stat, down)
0, 0.008, 0.0017028
0.008, 0.016, 0.00169419
0.016, 0.024, 0.00182342
0.024, 0.034, 0.00170889
0.034, 0.045, 0.00164771
0.045, 0.057, 0.00177436
0.057, 0.072, 0.00169358
0.072, 0.091, 0.00174729
0.091, 0.114, 0.00182057
0.114, 0.145, 0.00171771
0.145, 0.189, 0.00178772
0.189, 0.258, 0.00170193
0.258, 0.391, 0.00178137
0.391, 0.695, 0.00203551
0.695, 1.153, 0.00363979
1.153, 1.947, 0.00506551
1.947, 3.277, 0.0111011
