Acc Eff (stat, up)
0, 1, 0.00741194
1, 2, 0.00779558
2, 3, 0.00976811
3, 4, 0.0120436
4, 5, 0.008055
5, 6, 0.0127206
6, 7, 0.0206362
7, 8, 0.0337158
8, 9, 0.00300556
9, 10, 0.0020344
10, 11, 0.00208366
11, 12, 0.00220795
12, 13, 0.00242802
13, 14, 0.00229239
14, 15, 0.00280141
15, 16, 0.00302115
16, 17, 0.00181711
17, 18, 0.00203293
18, 19, 0.00273524
19, 20, 0.0020071
20, 21, 0.00198188
21, 22, 0
22, 23, 0
23, 24, 0
24, 25, 0
