Acc Eff (stat, down)
0, 0.008, 0.0102295
0.008, 0.024, 0.00723929
0.024, 0.045, 0.00678728
0.045, 0.072, 0.00634693
0.072, 0.114, 0.00640941
0.114, 0.189, 0.00595634
0.189, 0.391, 0.00545444
0.391, 1.153, 0.00579818
1.153, 3.277, 0.00934742
