Acc Eff (stat, up)
-2.87, -2.4, 0.0199004
-2.4, -1.93, 0.0122453
-1.93, -1.6, 0.013202
-1.6, -1.2, 0.0117495
-1.2, -0.8, 0.0119344
-0.8, -0.4, 0.012206
-0.4, 0, 0.0121133
0, 0.4, 0.0122039
0.4, 0.8, 0.0119944
0.8, 1.2, 0.0126781
1.2, 1.6, 0.0176344
1.6, 1.93, 0.0316421
