Acc Eff (stat, down)
0, 0.008, 0.018285
0.008, 0.024, 0.0132713
0.024, 0.045, 0.011993
0.045, 0.072, 0.0113463
0.072, 0.114, 0.0110955
0.114, 0.189, 0.0100886
0.189, 0.391, 0.00893281
0.391, 1.153, 0.00953587
1.153, 3.277, 0.0149418
