TnP (muid syst)
0, 2.5, 0.00236873
2.5, 5, 0.0023705
5, 7.5, 0.00238589
7.5, 10, 0.00240332
10, 12.5, 0.00240525
12.5, 15, 0.00240531
15, 17.5, 0.00240884
17.5, 20, 0.00240685
20, 30, 0.00235649
30, 40, 0.00230515
40, 50, 0.00223104
50, 70, 0.00215772
70, 90, 0.00220358
90, 110, 0.00248326
110, 150, 0.00301324
150, 190, 0.00425012
190, 250, 0.0065678
250, 600, 0.0100047
