Acc Eff (stat, down)
0, 2.5, 0.00164349
2.5, 5, 0.00117238
5, 7.5, 0.00121492
7.5, 10, 0.00129216
10, 12.5, 0.00145209
12.5, 15, 0.00166981
15, 17.5, 0.0019578
17.5, 20, 0.0020596
20, 30, 0.00132103
30, 40, 0.00175804
40, 50, 0.00244826
50, 70, 0.00256316
70, 90, 0.00390028
90, 110, 0.00512393
110, 150, 0.00623679
150, 200, 0.0215063
200, 300, 0.0183269
