Acc Eff (stat, up)
0, 2.5, 0.00300556
2.5, 5, 0.0020344
5, 7.5, 0.00208366
7.5, 10, 0.00220795
10, 12.5, 0.00242802
12.5, 15, 0.00229239
15, 17.5, 0.00280141
17.5, 20, 0.00302115
20, 30, 0.00181711
30, 40, 0.00203293
40, 50, 0.00273524
50, 70, 0.0020071
70, 90, 0.00198188
90, 110, 0
110, 150, 0
150, 200, 0
200, 300, 0
