Acc Eff (stat, down)
0, 2.5, 0.00380798
2.5, 5, 0.00260658
5, 7.5, 0.00263985
7.5, 10, 0.00281018
10, 12.5, 0.00308059
12.5, 15, 0.0033048
15, 17.5, 0.00358634
17.5, 20, 0.00389191
20, 30, 0.00230986
30, 40, 0.00297758
40, 50, 0.00363333
50, 70, 0.00326986
70, 90, 0.00433041
90, 110, 0.00382546
110, 150, 0.004
150, 200, 0.004
200, 300, 0.004
