MomCorr
1, -0.522699, 0.282843, -0.23094, -0.180397, 0.121393, 0, 0, -0.129639, 0.115633, -0.419591, -0.0834005, -0.0120949, 0.0754366, 0.279589, -0.415862, 0.15118, 0.0782831, -0.0769304, -0.0395832, -0.097228, 0.282877, -0.188173, 0.141421, 0
-0.522699, 1, -0.4, 0.462681, 0.0879174, 0.0730114, 0, 0, 0.0606437, -0.120182, 0.0905566, 0.446623, -0.294736, -0.157755, 0.106021, 0.0840168, 0.124695, -0.360504, 0.325439, -0.222079, 0.127854, -0.133988, 0.192251, -0.266667, 0
0.282843, -0.4, 1, -0.653197, -7.58308e-76, 5.87758e-75, 0, 0, -5.2621e-76, 3.12262e-75, 4.3853e-17, -0.325845, -0.0557386, 0.377381, 0.263038, -0.392078, 0.213809, 0.323616, -0.312453, 0.126491, 5.05286e-76, 0.199998, -0.54272, 0.4, 0
-0.23094, 0.462681, -0.653197, 1, 2.326e-10, 1.15898e-09, 0, 0, -0.165521, 0.188981, -0.0575911, 0.626329, -0.38115, -0.179743, -0.0134231, 0.205798, 0.0436436, -0.539472, 0.520864, -0.232379, 0.0870388, -0.163297, 0.320038, -0.326599, 0
-0.180397, 0.0879174, -7.58308e-76, 2.326e-10, 1, -0.415227, 0, 0, -0.103509, 0.0244411, 0.13856, 0.0261562, -0.0401016, 0.0443789, -0.0227814, 0.138621, 6.76222e-05, -0.014881, 0.0958393, 0.0183588, 0.118106, 0.000454345, -0.0710669, 0.141421, 0
0.121393, 0.0730114, 5.87758e-75, 1.15898e-09, -0.415227, 1, 0, 0, -0.0165024, 0.0775398, -0.00392636, 0.00496837, 0.0490095, -0.0493519, -0.0557763, 1.8975e-08, -7.74582e-05, 0.143679, -0.10565, 0.0218929, 0.0041502, -0.000970233, -0.0177054, 0, 0
0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.129639, 0.0606437, -5.2621e-76, -0.165521, -0.103509, -0.0165024, 0, 0, 1, -0.743983, 0.58609, -0.0762188, 0.29039, -0.32611, -0.213001, 0.242233, -0.310633, 0.0512416, -0.0198406, 0.0891802, -0.201455, -0.567585, 0.411211, -0.567619, 0
0.115633, -0.120182, 3.12262e-75, 0.188981, 0.0244411, 0.0775398, 0, 0, -0.743983, 1, -0.366473, -0.114033, -0.0832633, 0.291223, -0.0215312, -0.185817, 0.00830943, 0.127265, -0.17842, 0.242414, 0.00550265, 0.370423, -0.254961, 0.370325, 0
-0.419591, 0.0905566, 4.3853e-17, -0.0575911, 0.13856, -0.00392636, 0, 0, 0.58609, -0.366473, 1, -0.216039, 0.165161, -0.00388029, -0.491888, 0.600509, -0.324239, 0.203607, -0.189707, 0.288662, 0.110818, -0.592502, 0.0368994, -0.197496, 0
-0.0834005, 0.446623, -0.325845, 0.626329, 0.0261562, 0.00496837, 0, 0, -0.0762188, -0.114033, -0.216039, 1, -0.775836, -0.217946, 0.538413, -0.0437263, 0.547907, -0.883583, 0.865039, -0.672486, 0.246815, -0.0812816, 0.103545, -0.244384, 0
-0.0120949, -0.294736, -0.0557386, -0.38115, -0.0401016, 0.0490095, 0, 0, 0.29039, -0.0832633, 0.165161, -0.775836, 1, -0.286635, -0.687327, 0.228295, -0.79326, 0.759056, -0.608274, 0.585152, -0.427438, -0.0836971, 0.396664, -0.083608, 0
0.0754366, -0.157755, 0.377381, -0.179743, 0.0443789, -0.0493519, 0, 0, -0.32611, 0.291223, -0.00388029, -0.217946, -0.286635, 1, -0.0384819, -0.0440367, 0.274566, 0.180198, -0.363514, 0.189579, 0.192475, 0.125595, -0.493727, 0.377381, 0
0.279589, 0.106021, 0.263038, -0.0134231, -0.0227814, -0.0557763, 0, 0, -0.213001, -0.0215312, -0.491888, 0.538413, -0.687327, -0.0384819, 1, -0.713632, 0.711802, -0.566363, 0.504211, -0.591031, 0.202679, 0.39471, -0.397435, 0.131519, 0
-0.415862, 0.0840168, -0.392078, 0.205798, 0.138621, 1.8975e-08, 0, 0, 0.242233, -0.185817, 0.600509, -0.0437263, 0.228295, -0.0440367, -0.713632, 1, -0.284423, 0.0151051, -0.014584, 0.106274, 0.137329, -0.58811, 0.396868, -0.196039, 0
0.15118, 0.124695, 0.213809, 0.0436436, 6.76222e-05, -7.74582e-05, 0, 0, -0.310633, 0.00830943, -0.324239, 0.547907, -0.79326, 0.274566, 0.711802, -0.284423, 1, -0.598314, 0.438431, -0.591564, 0.39888, 0.213807, -0.435152, 0.213809, 0
0.0782831, -0.360504, 0.323616, -0.539472, -0.014881, 0.143679, 0, 0, 0.0512416, 0.127265, 0.203607, -0.883583, 0.759056, 0.180198, -0.566363, 0.0151051, -0.598314, 1, -0.874779, 0.684286, -0.292047, 0.0804164, -0.0815749, 0.242712, 0
-0.0769304, 0.325439, -0.312453, 0.520864, 0.0958393, -0.10565, 0, 0, -0.0198406, -0.17842, -0.189707, 0.865039, -0.608274, -0.363514, 0.504211, -0.014584, 0.438431, -0.874779, 1, -0.752241, 0.180749, -0.0776306, 0.187317, -0.23434, 0
-0.0395832, -0.222079, 0.126491, -0.232379, 0.0183588, 0.0218929, 0, 0, 0.0891802, 0.242414, 0.288662, -0.672486, 0.585152, 0.189579, -0.591031, 0.106274, -0.591564, 0.684286, -0.752241, 1, -0.320931, -0.0632675, 0.0138268, 0.0632455, 0
