tot	trigstat	muidstat	isostat	trigsyst	muidsyst	isosyst	muidbinned	isobinned	PU	STA
0.0395927	0.000622816	0.00468963	0.0372519	0.00346167	0.00364535	0.00347508	0.00363702	0.00770498	0.0034	0.006
0.0349601	0.00066368	0.00413541	0.0322352	0.00351206	0.00321622	0.00329649	0.00300466	0.00868482	0.0034	0.006
0.0298037	0.000698735	0.00307103	0.0262803	0.00349904	0.00233671	0.00274534	0.00197564	0.0105349	0.0034	0.006
0.0255328	0.000816521	0.00195786	0.0207983	0.00340376	0.00116189	0.00427079	0.000580921	0.0116524	0.0034	0.006
0.0262667	0.00132518	0.00172404	0.0208207	0.00336558	0.00029155	0.0115772	0.00130635	0.00754972	0.0034	0.006
0.0410655	0.00239854	0.00272591	0.0270598	0.00323522	0.000335109	0.0288583	0.00173331	0.00685643	0.0034	0.006
										
0.0278745	0.000963106	0.0130936	0.0178588	0.00108483	0.000656467	0.0102906	0.00529526	0.010128	0.0034	0.006
0.0169196	0.000759444	0.00695928	0.00989105	0.00106234	0.000618274	0.00703325	0.00320747	0.00553217	0.0034	0.006
0.0132882	0.000566456	0.00443376	0.00721327	0.00090358	0.000750767	0.00635137	0.00219744	0.00323359	0.0034	0.006
0.0119917	0.000331146	0.00298292	0.00528799	0.000780447	0.00127047	0.00740214	0.000920001	0.00118728	0.0034	0.006
0.0120933	0.000235851	0.0024919	0.00437268	0.000722336	0.00160773	0.00830016	0.000219062	0.00112079	0.0034	0.006
0.012268	0.000216098	0.00230455	0.00390704	0.000700398	0.00177328	0.00880111	0.000317279	0.00106105	0.0034	0.006
0.011875	0.000201062	0.00230211	0.00356474	0.00069277	0.0019036	0.00829017	0.00074768	0.0014206	0.0034	0.006
0.0112927	0.000184918	0.00241773	0.0034723	0.000686419	0.00202099	0.00736114	0.00119031	0.00136774	0.0034	0.006
0.0107058	0.000178271	0.00257924	0.00368001	0.000727344	0.00214053	0.00625581	0.001488	0.000605931	0.0034	0.006
0.0105892	0.000170483	0.00272362	0.00429553	0.000813355	0.00222574	0.00540183	0.00181083	0.000773335	0.0034	0.006
0.0109484	0.000159026	0.00285092	0.00504114	0.000824502	0.00230733	0.00502253	0.00209111	0.0017716	0.0034	0.006
0.0113674	0.000144967	0.00289488	0.00553692	0.000845726	0.00233867	0.00507869	0.00212566	0.00247045	0.0034	0.006
0.011127	0.000145975	0.00286428	0.00528749	0.000843812	0.00230861	0.00500448	0.00212761	0.00211024	0.0034	0.006
0.010691	0.000144504	0.00278991	0.00457577	0.000844139	0.0022608	0.00516712	0.00195995	0.00127754	0.0034	0.006
0.0105932	0.000143686	0.00263375	0.00387186	0.000777119	0.00215311	0.00590266	0.00161936	6.26885E-05	0.0034	0.006
0.0109863	0.000154989	0.00248412	0.00351112	0.000733554	0.00204601	0.00685174	0.0013183	0.00109917	0.0034	0.006
0.0116163	0.000163746	0.00231749	0.00348097	0.000704886	0.00191252	0.00793664	0.000935316	0.00135779	0.0034	0.006
0.0120417	0.000179157	0.00231805	0.00369953	0.000712616	0.00180196	0.00855481	0.000461484	0.00109487	0.0034	0.006
0.0120823	0.000200604	0.00249434	0.00422217	0.000727255	0.00165706	0.00836397	0.00012779	0.00104216	0.0034	0.006
0.0119187	0.00022936	0.00295465	0.00506133	0.000760144	0.00135907	0.00749554	0.000708407	0.000992811	0.0034	0.006
0.0126214	0.000309459	0.00410379	0.00651705	0.000836681	0.000934007	0.00657711	0.00167552	0.00216601	0.0034	0.006
0.015204	0.000503635	0.00615611	0.00864048	0.000961842	0.000673507	0.00673947	0.0025941	0.00415503	0.0034	0.006
0.0228164	0.000817356	0.011102	0.014078	0.00106422	0.000634614	0.00896646	0.00392425	0.00732002	0.0034	0.006
0.0332602	0.00145653	0.0166105	0.0213237	0.00117361	0.000690234	0.0134341	0.00567056	0.0105579	0.0034	0.006
